ID,Bounding Box 1,Bounding Box 2,Bounding Box 3,Bounding Box 4,Bounding Box 5,Bounding Box 6,Bounding Box 7,Bounding Box 8,Bounding Box 9,Bounding Box 10,dicom_id
175,,,,,,,,,,,5ec87f4f-f9c78a16-a0374bf2-a1b7a20a-1822dc5f
181,,,,,,,,,,,4c940923-a59ab393-7984e607-b473ed13-af98d60c
187,,,,,,,,,,,7bcd081b-869f44f4-57a93477-646a8796-ee97546c
190,,,,,,,,,,,35642b0f-61a458a3-ee615b21-53c18a23-fba53738
193,,,,,,,,,,,d88e8af3-aaaef91d-0f3f4bfb-650b004d-d2deb11d
194,,,,,,,,,,,77990ff0-f8347f9e-fa7dbb3d-d8c3086d-ef0f6f92
196,,,,,,,,,,,02947ca1-ea8a8533-05538613-d1d97227-09603587
205,,,,,,,,,,,454d7011-31d8f32e-e5a96238-c342b0e5-bcc682a7
210,,,,,,,,,,,f16fba45-d2eb2fa5-3d8ceeb0-b42d320f-dfd7ff36
222,,,,,,,,,,,313d43d6-51fcbc75-9a3dfa0f-9e6a38a3-bc0faa98
231,,,,,,,,,,,2ea3e714-f4ee5f3b-2945cb5a-4535ac4b-4dfc6d39
233,,,,,,,,,,,9fc8c8b4-162edfc3-f102ea41-d2fc3164-6e527850
240,,,,,,,,,,,b0da79ba-750fb986-1b54ceb0-178584f5-8ad14e13
242,,,,,,,,,,,b32851de-3e8dfa9b-f993cdff-a73eab95-616fb0ef
247,,,,,,,,,,,af76e538-8f6ea573-c4eef922-26a53256-698e8e95
250,,,,,,,,,,,e3fc5bd6-0ebd345c-dd63d96c-6844627c-1b6cf82b
251,,,,,,,,,,,0953a81d-ca76ba44-93fb40ac-aefbaa00-d4dc616e
261,,,,,,,,,,,f5c3bceb-e57aa5e5-870a0883-fb499b21-d9c51666
263,,,,,,,,,,,ec4d7f50-a17d242b-e5a51995-44d76672-98fb47a9
266,,,,,,,,,,,71a78c93-8ea95d1f-06382703-b57efe0e-e67b2f8a
268,,,,,,,,,,,03275929-bdd470d0-cff17b8d-0094c432-9f62046d
278,,,,,,,,,,,131bdad6-79eb78b0-bfc33fd9-3530c89c-8becae92
294,,,,,,,,,,,2511ba8a-cf7e5a8f-0f84d5a3-a237ed00-8ebb79e7
312,,,,,,,,,,,959ee516-d090d9d5-a95977ac-303cdde2-c9309e8c
315,,,,,,,,,,,106523df-7e5cdd25-a3523b28-f80e71b7-4ed5143c
332,,,,,,,,,,,9136d7b7-9c7bfb16-be054492-7b382415-e817f0ae
337,,,,,,,,,,,78e763db-b5ee86ae-bc0ef22c-da34a3cb-80b76884
339,,,,,,,,,,,d1136eed-65e29502-7df50d94-26d66f4a-513b4e1c
342,,,,,,,,,,,34c5e2b4-b4a8eccb-0ab6d905-3d0070ea-d019ae9e
354,,,,,,,,,,,5f0fd82a-314f5279-4cd2596b-186b23c5-bbbc1276
355,,,,,,,,,,,756679c3-fd04bd1c-01035723-ab046af8-0498aacf
360,,,,,,,,,,,2a7a20c8-9fcf3455-23f4a712-2604a72f-b7d094f0
362,,,,,,,,,,,fee7d5e6-6b867e7a-d5b4d9e7-a21293bc-b6a5d231
367,,,,,,,,,,,a7896b32-ec57068d-c8e8b706-df2ca7d3-f238e387
389,,,,,,,,,,,c9955fb0-1a9e6fb4-1be5bac6-682ae69b-03756338
391,,,,,,,,,,,36aa7ed8-b881d645-b1c004a1-85d7a612-f4501dd4
399,,,,,,,,,,,14f7e0b7-9240bf85-656b5eb9-012349a2-23c78134
400,,,,,,,,,,,2a277795-169dae63-08743e8e-dd52d6aa-a76bc909
406,,,,,,,,,,,7a56c5a4-63fabea2-e65cd08b-42dd34c4-a1867f86
414,,,,,,,,,,,48a254ba-4d6ccab1-b254dcf7-a7f305bc-9aae746b
416,,,,,,,,,,,106c5aa1-4a0f5bca-530ba4da-0768fcff-035440cc
428,,,,,,,,,,,2cc042d3-6807a0c0-29bc79c6-295027bc-568256cd
435,,,,,,,,,,,8247b1f0-e200992c-f6455701-47bee58d-6817cbfb
446,,,,,,,,,,,332a05ef-522b70f0-bb0adc6c-4760dac2-9bab23fd
449,,,,,,,,,,,e2a5c9b1-2557efb5-bb1b19a6-608b5b87-88f0eebc
451,,,,,,,,,,,3b93215e-d844a73d-33d76858-01c15170-abe225b7
457,,,,,,,,,,,05ba3e85-875eda0d-e635ab65-721ad62a-2ab3e9d5
463,,,,,,,,,,,39291b24-1045b1ed-af35c04e-d467233c-9c0a3be0
468,,,,,,,,,,,4c402c68-c25788ea-1860647c-0044c268-9c107cd6
475,,,,,,,,,,,eb00136d-bf3de8a4-e4b112fb-e086aa9e-97dc80ff
484,,,,,,,,,,,805a8950-23cbb6d4-e782fa05-4f383d52-095f442d
489,,,,,,,,,,,d2e3dff5-381ea801-b587e5f8-7a35a88a-9c9b66a5
492,,,,,,,,,,,7db28dbc-c29f9cc0-5f6278ef-2e24c44e-53886230
500,,,,,,,,,,,91b2414b-1efc64b6-d472d4bb-bf5700e8-1be0b8de
503,,,,,,,,,,,40d34002-353499e0-e16a694b-0f869ac3-2bbac822
509,,,,,,,,,,,48075acc-3667be78-42fc2f5f-fbd8850d-20995eaa
520,,,,,,,,,,,956c1a62-8930be5c-324a0273-7e327018-8a60718f
522,,,,,,,,,,,8e996700-e43f0100-4c697d66-6380fa96-b076f339
525,,,,,,,,,,,0d9dece7-baa08256-2212383e-28bae381-e7cbb755
534,,,,,,,,,,,78ecaf71-9fdb0b43-b0134402-8c5e739f-2c6c0ea2
548,,,,,,,,,,,511aa58c-05d4902f-94c1437b-47d759c2-8b3c8d99
557,,,,,,,,,,,31787733-0d0c11e6-80b6fc88-7243ef83-56f58a97
573,,,,,,,,,,,861a7a1b-6512768c-d72e5c4d-9a5bee8b-317d0e1d
579,,,,,,,,,,,96312b50-96e0570e-c5b42527-0f53b171-3bff047f
595,,,,,,,,,,,a9f7b25c-125104db-c9317b3a-a22c87df-6430d64d
603,,,,,,,,,,,7e950526-ccc5960e-735b0f76-a80365d9-139f5bff
614,,,,,,,,,,,1c038d27-c6193e6a-d4588595-a78608bd-565e11fa
625,,,,,,,,,,,d16b8a50-95277aa0-0f31f502-0a9e69f1-dd28cc19
634,,,,,,,,,,,495937cb-454a440e-744ee1a3-37d13925-843f41fa
638,,,,,,,,,,,6d7c4296-157fc904-b6d6c70d-f3c54944-61ba51e2
640,,,,,,,,,,,494d5cdc-f7b4d476-5b2a9c62-fb75fed7-4514dd92
649,,,,,,,,,,,fda51176-8fd6b222-f6232198-9630641d-d2e58e00
662,,,,,,,,,,,c866e26b-0ee50fad-c761f006-112059d2-c19e16a6
663,,,,,,,,,,,0be3c7e0-dbc5b2ed-e557d6d0-0a807cd5-6a2be0d3
